route,viewport,state,sourcePath,stagingPath,differencePath,sourceWidth,sourceHeight,stagingWidth,stagingHeight,dimensionsEqual,changedPixels,totalPixels,changedPixelPercent,meanAbsoluteChannelDelta,channelDeltaThreshold,allowedChangedPixelPercent,evidenceComplete
"/services/","tablet","header-sticky","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\services\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\services\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\services\header-sticky.png","768","90","768","90","true","168","69120","0.24305555555555555","0.05539641203703704","24","0.5","true"
"/services/","tablet","menu-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\services\menu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\services\menu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\services\menu-open.png","768","1024","768","1024","true","98450","786432","12.518564860026041","8.520658704969618","24","0.5","true"
"/services/","tablet","submenu-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\services\submenu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\services\submenu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\services\submenu-open.png","768","1024","768","1024","true","118078","786432","15.014394124348959","11.522883945041233","24","0.5","true"
"/services/","tablet","footer","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\services\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\services\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\services\footer.png","768","759","768","1117","false","404335","857856","47.13320184273351","101.87895443213469","24","0.5","true"
"/services/","tablet","floating-actions","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\services\floating-actions.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\services\floating-actions.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\services\floating-actions.png","768","1024","768","1024","true","344976","786432","43.865966796875","88.96400578816731","24","0.5","true"
"/services/","mobile","header-initial","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\mobile\services\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\mobile\services\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\mobile\services\header-initial.png","390","90","390","90","true","168","35100","0.47863247863247865","0.10901234567901234","24","0.5","true"
"/services/","mobile","header-sticky","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\mobile\services\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\mobile\services\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\mobile\services\header-sticky.png","390","90","390","90","true","168","35100","0.47863247863247865","0.10908831908831909","24","0.5","true"
"/services/","mobile","menu-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\mobile\services\menu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\mobile\services\menu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\mobile\services\menu-open.png","390","844","390","844","true","4354","329160","1.3227609673107303","1.7186120225219752","24","0.5","true"
"/services/","mobile","submenu-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\mobile\services\submenu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\mobile\services\submenu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\mobile\services\submenu-open.png","390","844","390","844","true","19935","329160","6.056325191396281","7.143083404220845","24","0.5","true"
"/services/","mobile","footer","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\mobile\services\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\mobile\services\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\mobile\services\footer.png","390","1396","390","1427","false","168057","556530","30.19729394641798","54.38762510556484","24","0.5","true"
